seq_name,run_id,play_rate,N,rmse,mean,median,std,max,min
office/seq-07,run_001,0.05,79,0.17056476285054561,0.15017407442979763,0.13796946144411562,0.0808707963075452,0.3921286369206692,0.025141457417539852
office/seq-08,run_001,0.05,81,0.3390005484873391,0.29294155867731697,0.25306827545116395,0.17060660911705872,0.6626831509760785,0.06813689367548809
redkitchen/seq-13,run_001,0.05,50,0.22754502160609968,0.19139035117827938,0.15622443269323227,0.12307099712594866,0.458866412700849,0.02946870238028732
stairs/seq-04,run_001,0.05,28,0.10529017372374663,0.09318517025909953,0.07646207323179972,0.04901575998145269,0.2207633073800288,0.016155450911953164
redkitchen/seq-05,run_001,0.05,54,0.2799424401294805,0.25492140465059665,0.21067388393495978,0.11568425664979021,0.47273047807840557,0.08438589420730182
redkitchen/seq-05,run_001,0.1,47,0.14506090945130437,0.1276668916702266,0.12112552163885644,0.06887548346183964,0.36681019668572024,0.028727865949245313
redkitchen/seq-04,run_001,0.1,36,0.07768576390690357,0.0671950639798957,0.055974682884066165,0.03898591143652902,0.2165249668775904,0.015145898967411857
redkitchen/seq-13,run_001,0.1,47,0.20586240176072929,0.17077055479282266,0.13487734247869934,0.11496410776606523,0.46375856967104784,0.021834630751829866
redkitchen/seq-13,run_001,0.05,50,0.232410993728199,0.19648819695597625,0.15688924737346804,0.1241259781944072,0.4673032183703314,0.04067703946536921
redkitchen/seq-13,run_001,0.1,45,0.19486227785916807,0.16030318413138428,0.11961970900384732,0.11078897278070207,0.4516022559661764,0.018114950964066914
redkitchen/seq-12,run_001,0.1,41,0.1005929630203433,0.08782443500638086,0.08220510621554881,0.049049085873460886,0.23066392251713097,0.02415104383708678
redkitchen/seq-12,run_001,0.1,42,0.09862966796426026,0.08652483290098613,0.07049057966616276,0.04734199715048632,0.21655313017121874,0.023788952692300087
redkitchen/seq-12,run_001,0.1,52,0.1138157666126972,0.10078883019964587,0.10074695556016397,0.05287381617230702,0.30134061785194344,0.019939448433808574
redkitchen/seq-12,run_001,0.1,49,0.11536899256713436,0.10288286457130372,0.09513605192251307,0.0522026878959147,0.2801840807758122,0.024896757880657726
redkitchen/seq-12,run_001,0.1,51,0.1136464015129757,0.10264196645473812,0.10229621809371824,0.0487865893371621,0.23498246052287683,0.020210305005359565
office/seq-05,run_001,0.1,63,0.1927489554091582,0.15828413171692224,0.10725311174332089,0.1099922427171192,0.44396272910362305,0.02047467032635814
office/seq-05,run_001,0.1,62,0.1990179284060405,0.1604245555224125,0.0841770319148897,0.11777987014964929,0.4411403587545655,0.025789830784626346
office/seq-05,run_001,0.1,62,0.13064256686077586,0.1076437769858595,0.10687375284610298,0.07402903181989369,0.3206215297985623,0.013703771633337143
office/seq-08,run_001,0.1,64,0.2295946063213689,0.21155099993917673,0.19951930256966535,0.08921803448069689,0.43167064826518176,0.04616990743407966
office/seq-08,run_001,0.1,63,0.19312384526530685,0.17163948344573624,0.17357234832282015,0.08852517908786761,0.3893018304552439,0.033935774983761414
redkitchen/seq-05,run_001,0.1,55,0.16500944193349776,0.14479846972673385,0.1232125639051155,0.07912976110162674,0.40623099450217204,0.04405660009285289
redkitchen/seq-05,run_001,0.1,55,0.26563818257971894,0.24444239107748442,0.23938344346460547,0.10397865881313474,0.4587024369185175,0.07959392662137069
pumpkin/seq-03,run_001,0.1,53,0.17636382638786255,0.1561622346180286,0.14071818167300165,0.0819606962956752,0.4203733048149321,0.03587581866968653
pumpkin/seq-03,run_001,0.1,60,0.32981438484571396,0.30070632437670836,0.26218455236212734,0.135474111663471,0.7100863934120402,0.10545116480843128
pumpkin/seq-03,run_001,0.1,60,0.23991081566928316,0.21465071376803602,0.1983380677933243,0.10715535709414371,0.5966747710905078,0.054424563859109897
pumpkin/seq-03,run_001,0.1,52,0.21974588560104572,0.19920091173387988,0.18002855793254793,0.0927752715058214,0.5278475244007808,0.08139960664049123
pumpkin/seq-03,run_001,0.1,53,0.2914043860574953,0.2585611601445884,0.21475511267265818,0.13439733136573173,0.6044317687283371,0.04569035057268657
pumpkin/seq-03,run_001,0.1,50,0.1558962793729838,0.1419882645742272,0.13637090378043154,0.06436600535638883,0.3795281824886682,0.04970734233958773
pumpkin/seq-03,run_001,0.1,48,0.2138082650659181,0.19147602573206401,0.16904764382570456,0.09513624850892452,0.5194847794092068,0.035133450714559575
redkitchen/seq-13,run_001,0.1,53,0.23187491767832832,0.195563319868412,0.1574046496735665,0.12458316648077591,0.46432705787588796,0.013979197542233097
redkitchen/seq-06,run_001,0.1,50,0.10873262905180361,0.09799959743512325,0.08965777535570438,0.04710481422392954,0.2403915595032101,0.00759510949861393
redkitchen/seq-07,run_001,0.1,52,0.1176315639019798,0.11234682875539534,0.1068001254078906,0.03486222733319594,0.19317935887980398,0.047159069488976836
