seq_name,run_id,play_rate,N,rmse,mean,median,std,max,min
chess/seq-01,run_001,0.1,30,0.056299549366567565,0.05102297047467741,0.04603397013792587,0.023796969193970393,0.11036599920365585,0.013459422278084547
chess/seq-02,run_001,0.1,53,0.06913304059654919,0.06381236449326153,0.05773460636839705,0.026596229806182203,0.13073470059909695,0.018634522221586607
chess/seq-03,run_001,0.1,55,0.07157102596818281,0.06426681384880206,0.056937068163816,0.03149902214135735,0.1542520076343679,0.015258461629743826
chess/seq-04,run_001,0.1,48,0.07588836266591134,0.07130532181198575,0.06262880707030988,0.02597296035114277,0.153748305138058,0.03171340047052275
chess/seq-05,run_001,0.1,37,0.04452787960392709,0.04014922270874359,0.038753820389990964,0.019255440215833374,0.08030247539500636,0.010408696963832674
chess/seq-06,run_001,0.1,24,0.05859632134783906,0.051678596392777554,0.048008755784922724,0.027619767384458885,0.12575990357507807,0.00920059185085484
fire/seq-01,run_001,0.1,33,0.05451613918707055,0.0509057501718198,0.04841991647196348,0.019509331903176944,0.10097862966964768,0.022695308219700606
fire/seq-02,run_001,0.1,24,0.06199337351435254,0.055969255593266626,0.05789794162118571,0.02665747152348883,0.10702257012333152,0.015194803783094612
fire/seq-03,run_001,0.1,29,0.058290635744116776,0.055863436160860785,0.057000282391857386,0.016645561443061483,0.08781972071873513,0.008664281695013093
fire/seq-04,run_001,0.1,33,0.09046196183856883,0.08259472309374782,0.07335311266206151,0.036898214817925816,0.19955638891644137,0.028342852687170395
heads/seq-01,run_001,0.1,48,0.059823837964000905,0.05606737810025597,0.054052745471171976,0.02086481971419771,0.11226525697983442,0.014681287371873448
heads/seq-02,run_001,0.1,51,0.05483821125389593,0.04789338814554509,0.04538345870097695,0.02671053697451776,0.14680562044619894,0.011416587843713466
office/seq-01,run_001,0.1,52,0.12611833270699416,0.10973997990127525,0.09757347013205318,0.06215280087059458,0.29958060896296174,0.009173322249936193
office/seq-02,run_001,0.1,70,0.1287571988733112,0.11831430056517485,0.11366939732841429,0.05079510353838136,0.30854667455076595,0.03703656402111912
office/seq-03,run_001,0.1,58,0.11367550055384759,0.10491854810756066,0.09340203483928722,0.04375177355455755,0.21398100671691064,0.026582355476612675
office/seq-04,run_001,0.1,53,0.08927894803684774,0.08150741751097677,0.08028737414580746,0.03643173689597409,0.1721222942204441,0.014346794021718675
office/seq-05,run_001,0.1,60,0.17872330766531005,0.14471405105365936,0.10209731065467881,0.10488023708243585,0.365712404609026,0.018248658586267872
office/seq-06,run_001,0.1,45,0.13121647057599858,0.11502572047110794,0.10657840494529372,0.06314147432967053,0.2776835309628197,0.034833483324433166
office/seq-07,run_001,0.1,61,0.1756667816098879,0.1556408357815383,0.1397021758084544,0.08145396490288413,0.35901601341520006,0.031207016443732152
office/seq-08,run_001,0.1,62,0.212480073209304,0.18584034854295706,0.18014049108857905,0.1030104187180279,0.4224848162636417,0.026679192761349727
office/seq-09,run_001,0.1,52,0.10720314168774826,0.09913850546031829,0.09672551432250975,0.040793018064588876,0.20739307120245612,0.008182057336957201
office/seq-10,run_001,0.1,72,0.184756128869587,0.15963075669691515,0.14453853579371573,0.09302068947952231,0.5335762534612298,0.014599663466881005
pumpkin/seq-01,run_001,0.1,40,0.2043309251057631,0.17282474050940744,0.1514063203103706,0.10900796311477873,0.4895529374207459,0.01997033281696111
pumpkin/seq-02,run_001,0.1,19,0.28447405921235497,0.24687203741941052,0.2113158318610713,0.14134952247936167,0.5035317563593612,0.03433531999562434
pumpkin/seq-03,run_001,0.1,38,0.23643980044699855,0.21231243962315086,0.18862628840922585,0.10405386689922885,0.5294049001488427,0.0371542257034366
pumpkin/seq-06,run_001,0.1,38,0.15335913056540845,0.14203236402853067,0.1366191151126257,0.05784315427295567,0.32867866942662527,0.02954403157779043
pumpkin/seq-07,run_001,0.1,42,0.10513031588767939,0.09586647488260237,0.09137343840911152,0.04315092481310942,0.20017161633580496,0.022171839462584476
pumpkin/seq-08,run_001,0.1,52,0.18931710049950504,0.15862696929585088,0.11765127459408914,0.10333658187473045,0.5094509672026886,0.04146860042748323
redkitchen/seq-01,run_001,0.1,37,0.1029710776561454,0.0871897110326294,0.072407349536396,0.05478135744680401,0.25335071063753384,0.01927367766138728
redkitchen/seq-02,run_001,0.1,41,0.1237053647407396,0.11179075824778187,0.09806833164460678,0.05297021461184968,0.2246198449338743,0.03891687323475445
redkitchen/seq-03,run_001,0.1,18,0.05008023250852913,0.047008300719550464,0.04844153808768159,0.017269897265723658,0.07564563711618245,0.00945907848484425
redkitchen/seq-04,run_001,0.1,30,0.3342428271055973,0.24026970035309617,0.17248508608454632,0.23235476875626113,1.3686699870147152,0.07459761412285053
redkitchen/seq-05,run_001,0.1,44,0.2003834817229952,0.18267402867889618,0.1807648154252045,0.08236345666405556,0.4392800116840621,0.048812057770494924
